Data_padrao;Regiao;Valor
2005-08-01;Sistemas Isolados;115309.76000000001
2005-08-01;Sudeste/C.Oeste;2632078.8300000005
2005-08-01;Sul;686421.95
2005-08-01;TOTAL COMERCIAL (CATIVO + LIVRE);4141719.4700000007
2005-09-01;Nordeste;568758.45
2005-09-01;Norte;149607.72999999998
2005-09-01;Sistemas Isolados;123310.59999999998
2005-09-01;Sudeste/C.Oeste;2831800.6399999997
2005-09-01;Sul;687756.06
2005-09-01;TOTAL COMERCIAL (CATIVO + LIVRE);4361233.4799999995
2005-10-01;Nordeste;597289.5700000001
2005-10-01;Norte;151471.56
2005-10-01;Sistemas Isolados;121853.79000000001
2005-10-01;Sudeste/C.Oeste;2853484.19
2005-10-01;Sul;688045.03
2005-10-01;TOTAL COMERCIAL (CATIVO + LIVRE);4412144.14
2005-11-01;Nordeste;617908.87
2005-11-01;Norte;150885.28999999998
2005-11-01;Sistemas Isolados;124575.19
2005-11-01;Sudeste/C.Oeste;2920889.21
2005-11-01;Sul;722608.1599999999
2005-11-01;TOTAL COMERCIAL (CATIVO + LIVRE);4536866.72
2005-12-01;Nordeste;638055.3799999999
2005-12-01;Norte;153591.03
2005-12-01;Sistemas Isolados;122716.34
2005-12-01;Sudeste/C.Oeste;2961815.0999999996
2005-12-01;Sul;786290.8999999999
2005-12-01;TOTAL COMERCIAL (CATIVO + LIVRE);4662468.75
2006-01-01;Nordeste;615833.53
2006-01-01;Norte;141309.38
2006-01-01;Sistemas Isolados;116291.58000000002
2006-01-01;Sudeste/C.Oeste;2963726.5900000003
2006-01-01;Sul;805834.3700000001
2006-01-01;TOTAL COMERCIAL (CATIVO + LIVRE);4642995.45
2006-02-01;Nordeste;600532.97
2006-02-01;Norte;140817.91999999998
2006-02-01;Sistemas Isolados;111765.03
2006-02-01;Sudeste/C.Oeste;3134281.71
2006-02-01;Sul;838272.0700000001
2006-02-01;TOTAL COMERCIAL (CATIVO + LIVRE);4825669.7
2006-03-01;Nordeste;631561.88
2006-03-01;Norte;140473.77
2006-03-01;Sistemas Isolados;110368.73999999999
2006-03-01;Sudeste/C.Oeste;3160255.23
2006-03-01;Sul;832410.9999999999
2006-03-01;TOTAL COMERCIAL (CATIVO + LIVRE);4875070.62
2006-04-01;Nordeste;623005.67
2006-04-01;Norte;140782.5
2006-04-01;Sistemas Isolados;118185.51
2006-04-01;Sudeste/C.Oeste;3135278.480000001
2006-04-01;Sul;816441.7400000001
2006-04-01;TOTAL COMERCIAL (CATIVO + LIVRE);4833693.900000001
2006-05-01;Nordeste;595741.73
2006-05-01;Norte;143976.8
2006-05-01;Sistemas Isolados;112438.89
2006-05-01;Sudeste/C.Oeste;2864249.3199999994
2006-05-01;Sul;702202.01
2006-05-01;TOTAL COMERCIAL (CATIVO + LIVRE);4418608.749999999
2006-06-01;Nordeste;576396.5800000001
2006-06-01;Norte;150248.34
2006-06-01;Sistemas Isolados;117747.81
2006-06-01;Sudeste/C.Oeste;2766037.61
2006-06-01;Sul;709154.91
2006-06-01;TOTAL COMERCIAL (CATIVO + LIVRE);4319585.25
2006-07-01;Nordeste;568058.61
2006-07-01;Norte;145112.11
2006-07-01;Sistemas Isolados;121874.57999999999
2006-07-01;Sudeste/C.Oeste;2698298.9599999995
2006-07-01;Sul;697170.2500000001
2006-07-01;TOTAL COMERCIAL (CATIVO + LIVRE);4230514.51
2006-08-01;Nordeste;578168.04
2006-08-01;Norte;154992.88
2006-08-01;Sistemas Isolados;121243.25
2006-08-01;Sudeste/C.Oeste;2819275.1100000003
2006-08-01;Sul;734546.27
2006-08-01;TOTAL COMERCIAL (CATIVO + LIVRE);4408225.550000001
2006-09-01;Nordeste;589414.5399999999
2006-09-01;Norte;161057.81
2006-09-01;Sistemas Isolados;131878.7
2006-09-01;Sudeste/C.Oeste;2916339.63
2006-09-01;Sul;713323.3
2006-09-01;TOTAL COMERCIAL (CATIVO + LIVRE);4512013.9799999995
2006-10-01;Nordeste;616781.6799999999
2006-10-01;Norte;162914.56
2006-10-01;Sistemas Isolados;127328.42
2006-10-01;Sudeste/C.Oeste;2951813.44
2006-10-01;Sul;722952.9600000001
2006-10-01;TOTAL COMERCIAL (CATIVO + LIVRE);4581791.06
2006-11-01;Nordeste;644003.83
2006-11-01;Norte;158675.82
2006-11-01;Sistemas Isolados;127893.31
2006-11-01;Sudeste/C.Oeste;3055358.7199999997
2006-11-01;Sul;782297.6800000002
2006-11-01;TOTAL COMERCIAL (CATIVO + LIVRE);4768229.359999999
2006-12-01;Nordeste;654581.21
2006-12-01;Norte;159292.34999999998
2006-12-01;Sistemas Isolados;125989.94
2006-12-01;Sudeste/C.Oeste;3192306.2099999995
2006-12-01;Sul;820171.4400000002
2006-12-01;TOTAL COMERCIAL (CATIVO + LIVRE);4952341.149999999
2007-01-01;Nordeste;658666.0
2007-01-01;Norte;153163.0
2007-01-01;Sistemas Isolados;120817.0
2007-01-01;Sudeste/C.Oeste;3134577.0
2007-01-01;Sul;874357.0
2007-01-01;TOTAL COMERCIAL (CATIVO + LIVRE);4941580.0
2007-02-01;Nordeste;641040.0
2007-02-01;Norte;145580.0
2007-02-01;Sistemas Isolados;119680.0
2007-02-01;Sudeste/C.Oeste;3139800.0
2007-02-01;Sul;877843.0
