Data_padrao;Regiao;Valor
2005-10-01;Sul;2092679.0499999998
2005-10-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13512368.21
2005-11-01;Nordeste;1629412.2799999998
2005-11-01;Norte;1381657.42
2005-11-01;Sistemas Isolados;160391.15000000002
2005-11-01;Sudeste/C.Oeste;8159721.6899999995
2005-11-01;Sul;2114081.3200000003
2005-11-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13445263.86
2005-12-01;Nordeste;1643114.04
2005-12-01;Norte;1468023.38
2005-12-01;Sistemas Isolados;155135.66999999998
2005-12-01;Sudeste/C.Oeste;8178837.26
2005-12-01;Sul;2104743.62
2005-12-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13549853.969999999
2006-01-01;Nordeste;1593609.1300000001
2006-01-01;Norte;1434108.25
2006-01-01;Sistemas Isolados;143803.89
2006-01-01;Sudeste/C.Oeste;7763935.880000001
2006-01-01;Sul;1915943.4999999998
2006-01-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);12851400.650000002
2006-02-01;Nordeste;1501616.16
2006-02-01;Norte;1315286.1
2006-02-01;Sistemas Isolados;150301.0
2006-02-01;Sudeste/C.Oeste;7992674.43
2006-02-01;Sul;2084453.74
2006-02-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13044331.43
2006-03-01;Nordeste;1651733.7599999998
2006-03-01;Norte;1460630.23
2006-03-01;Sistemas Isolados;150657.23
2006-03-01;Sudeste/C.Oeste;7953715.430000002
2006-03-01;Sul;2165590.58
2006-03-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13382327.230000002
2006-04-01;Nordeste;1600430.19
2006-04-01;Norte;1425709.7200000002
2006-04-01;Sistemas Isolados;157322.11000000002
2006-04-01;Sudeste/C.Oeste;8186015.16
2006-04-01;Sul;2162330.62
2006-04-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13531807.8
2006-05-01;Nordeste;1592497.02
2006-05-01;Norte;1453972.81
2006-05-01;Sistemas Isolados;155145.08000000002
2006-05-01;Sudeste/C.Oeste;8023893.98
2006-05-01;Sul;2181245.0500000003
2006-05-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13406753.940000001
2006-06-01;Nordeste;1601911.93
2006-06-01;Norte;1434619.27
2006-06-01;Sistemas Isolados;158632.58000000002
2006-06-01;Sudeste/C.Oeste;8165429.579999999
2006-06-01;Sul;2208094.95
2006-06-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13568688.309999999
2006-07-01;Nordeste;1628142.48
2006-07-01;Norte;1495242.26
2006-07-01;Sistemas Isolados;159301.85
2006-07-01;Sudeste/C.Oeste;8202269.710000001
2006-07-01;Sul;2211594.78
2006-07-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13696551.08
2006-08-01;Nordeste;1696137.23
2006-08-01;Norte;1531091.74
2006-08-01;Sistemas Isolados;166646.41999999998
2006-08-01;Sudeste/C.Oeste;8507329.740000002
2006-08-01;Sul;2262835.13
2006-08-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);14164040.260000002
2006-09-01;Nordeste;1661812.7499999998
2006-09-01;Norte;1484345.33
2006-09-01;Sistemas Isolados;171672.38999999998
2006-09-01;Sudeste/C.Oeste;8321736.248999998
2006-09-01;Sul;2185915.63
2006-09-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13825482.348999996
2006-10-01;Nordeste;1714037.0599999998
2006-10-01;Norte;1534510.5899999999
2006-10-01;Sistemas Isolados;164963.83
2006-10-01;Sudeste/C.Oeste;8343003.770000001
2006-10-01;Sul;2196101.03
2006-10-01;TOTAL INDUSTRIAL (CATIVO + LIVRE);13952616.28
2006-11-01;Nordeste;1656623.87
2006-11-01;Norte;1483565.76
