Data_padrao;Regiao;Valor
2005-09-01;Sul;1130082.28
2005-09-01;TOTAL RESIDENCIAL;6949354.659999999
2005-10-01;Nordeste;1015012.0599999999
2005-10-01;Norte;270925.37
2005-10-01;Sistemas Isolados;208821.69
2005-10-01;Sudeste/C.Oeste;4310464.83
2005-10-01;Sul;1112763.3399999999
2005-10-01;TOTAL RESIDENCIAL;6917987.29
2005-11-01;Nordeste;1048068.92
2005-11-01;Norte;276393.02
2005-11-01;Sistemas Isolados;219740.43000000002
2005-11-01;Sudeste/C.Oeste;4315493.89
2005-11-01;Sul;1116744.96
2005-11-01;TOTAL RESIDENCIAL;6976441.22
2005-12-01;Nordeste;1061179.79
2005-12-01;Norte;269260.95999999996
2005-12-01;Sistemas Isolados;201662.77000000002
2005-12-01;Sudeste/C.Oeste;4388781.999999999
2005-12-01;Sul;1156844.27
2005-12-01;TOTAL RESIDENCIAL;7077729.789999999
2006-01-01;Nordeste;1076942.5699999998
2006-01-01;Norte;263872.32
2006-01-01;Sistemas Isolados;192331.5
2006-01-01;Sudeste/C.Oeste;4416741.18
2006-01-01;Sul;1217744.51
2006-01-01;TOTAL RESIDENCIAL;7167632.079999999
2006-02-01;Nordeste;1035015.8700000001
2006-02-01;Norte;251142.37
2006-02-01;Sistemas Isolados;189240.37
2006-02-01;Sudeste/C.Oeste;4418636.2299999995
2006-02-01;Sul;1237780.7100000002
2006-02-01;TOTAL RESIDENCIAL;7131815.55
2006-03-01;Nordeste;1112221.41
2006-03-01;Norte;250567.41999999998
2006-03-01;Sistemas Isolados;192002.44
2006-03-01;Sudeste/C.Oeste;4647328.34
2006-03-01;Sul;1206397.34
2006-03-01;TOTAL RESIDENCIAL;7408516.949999999
2006-04-01;Nordeste;1083456.0000000002
2006-04-01;Norte;263545.99
2006-04-01;Sistemas Isolados;190671.41000000003
2006-04-01;Sudeste/C.Oeste;4507821.900000001
2006-04-01;Sul;1184330.48
2006-04-01;TOTAL RESIDENCIAL;7229825.780000001
2006-05-01;Nordeste;1058620.48
2006-05-01;Norte;255503.71999999997
2006-05-01;Sistemas Isolados;189676.06
2006-05-01;Sudeste/C.Oeste;4333145.92
2006-05-01;Sul;1096409.5
2006-05-01;TOTAL RESIDENCIAL;6933355.68
2006-06-01;Nordeste;1022015.61
2006-06-01;Norte;267649.21
2006-06-01;Sistemas Isolados;191290.7
2006-06-01;Sudeste/C.Oeste;4337117.369999999
2006-06-01;Sul;1145519.92
2006-06-01;TOTAL RESIDENCIAL;6963592.809999999
2006-07-01;Nordeste;1009316.3599999999
2006-07-01;Norte;264380.19999999995
2006-07-01;Sistemas Isolados;205894.95999999996
2006-07-01;Sudeste/C.Oeste;4275031.39
2006-07-01;Sul;1138292.48
2006-07-01;TOTAL RESIDENCIAL;6892915.389999999
2006-08-01;Nordeste;1008141.84
2006-08-01;Norte;272534.89
2006-08-01;Sistemas Isolados;205223.31
2006-08-01;Sudeste/C.Oeste;4303191.989999999
2006-08-01;Sul;1150879.67
2006-08-01;TOTAL RESIDENCIAL;6939971.699999999
2006-09-01;Nordeste;1032258.8799999999
2006-09-01;Norte;287268.66000000003
2006-09-01;Sistemas Isolados;222219.84999999998
2006-09-01;Sudeste/C.Oeste;4446397.710000001
2006-09-01;Sul;1140225.48
2006-09-01;TOTAL RESIDENCIAL;7128370.58
2006-10-01;Nordeste;1080162.3399999999
2006-10-01;Norte;292519.94
2006-10-01;Sistemas Isolados;220634.8
2006-10-01;Sudeste/C.Oeste;4457987.23
2006-10-01;Sul;1130931.65
2006-10-01;TOTAL RESIDENCIAL;7182235.960000001
2006-11-01;Nordeste;1142476.2799999998
2006-11-01;Norte;293675.93
2006-11-01;Sistemas Isolados;225011.76
2006-11-01;Sudeste/C.Oeste;4574384.87
2006-11-01;Sul;1203159.6400000001
2006-11-01;TOTAL RESIDENCIAL;7438708.48
2006-12-01;Nordeste;1110571.7999999998
2006-12-01;Norte;281104.43000000005
2006-12-01;Sistemas Isolados;212307.57
2006-12-01;Sudeste/C.Oeste;4567866.789999999
2006-12-01;Sul;1195034.21
2006-12-01;TOTAL RESIDENCIAL;7366884.799999999
2007-01-01;Nordeste;1148708.0
2007-01-01;Norte;284266.0
2007-01-01;Sistemas Isolados;209825.0
2007-01-01;Sudeste/C.Oeste;4739885.0
2007-01-01;Sul;1327669.0
2007-01-01;TOTAL RESIDENCIAL;7710353.0
2007-02-01;Nordeste;1106651.0
2007-02-01;Norte;268142.0
2007-02-01;Sistemas Isolados;203972.0
2007-02-01;Sudeste/C.Oeste;4544462.0
2007-02-01;Sul;1269714.0
2007-02-01;TOTAL RESIDENCIAL;7392941.0
2007-03-01;Nordeste;1095996.0
2007-03-01;Norte;256125.0
2007-03-01;Sistemas Isolados;200915.0
2007-03-01;Sudeste/C.Oeste;4765807.0
2007-03-01;Sul;1275474.0
2007-03-01;TOTAL RESIDENCIAL;7594317.0
2007-04-01;Nordeste;1132054.0
2007-04-01;Norte;285519.0
2007-04-01;Sistemas Isolados;204909.0
2007-04-01;Sudeste/C.Oeste;4814526.0
2007-04-01;Sul;1291818.0
2007-04-01;TOTAL RESIDENCIAL;7728826.0
2007-05-01;Nordeste;1105296.0
2007-05-01;Norte;285340.0
2007-05-01;Sistemas Isolados;205909.0
2007-05-01;Sudeste/C.Oeste;4651509.0
2007-05-01;Sul;1243434.0
2007-05-01;TOTAL RESIDENCIAL;7491488.0
2007-06-01;Nordeste;1095855.0
2007-06-01;Norte;290309.0
2007-06-01;Sistemas Isolados;205827.0
2007-06-01;Sudeste/C.Oeste;4419161.0
2007-06-01;Sul;1193009.0
2007-06-01;TOTAL RESIDENCIAL;7204161.0
2007-07-01;Nordeste;1066305.0
2007-07-01;Norte;282383.0
2007-07-01;Sistemas Isolados;207641.0
2007-07-01;Sudeste/C.Oeste;4342291.0
2007-07-01;Sul;1172657.0
2007-07-01;TOTAL RESIDENCIAL;7071277.0
2007-08-01;Nordeste;1068375.0
2007-08-01;Norte;299359.0
2007-08-01;Sistemas Isolados;215692.0
2007-08-01;Sudeste/C.Oeste;4511980.0
2007-08-01;Sul;1249110.0
2007-08-01;TOTAL RESIDENCIAL;7344516.0
2007-09-01;Nordeste;1048518.0
2007-09-01;Norte;305545.0
2007-09-01;Sistemas Isolados;224529.0
2007-09-01;Sudeste/C.Oeste;4632444.0
2007-09-01;Sul;1238276.0
2007-09-01;TOTAL RESIDENCIAL;7449312.0
2007-10-01;Nordeste;1108661.0
2007-10-01;Norte;307358.0
2007-10-01;Sistemas Isolados;226303.0
2007-10-01;Sudeste/C.Oeste;4652522.0
2007-10-01;Sul;1216932.0
2007-10-01;TOTAL RESIDENCIAL;7511776.0
2007-11-01;Nordeste;1161282.0
2007-11-01;Norte;319137.0
2007-11-01;Sistemas Isolados;233553.0
2007-11-01;Sudeste/C.Oeste;4815485.0
2007-11-01;Sul;1238824.0
2007-11-01;TOTAL RESIDENCIAL;7768281.0
2007-12-01;Nordeste;1184368.0
2007-12-01;Norte;307545.0
2007-12-01;Sistemas Isolados;223932.0
2007-12-01;Sudeste/C.Oeste;4684002.0
2007-12-01;Sul;1218277.0
2007-12-01;TOTAL RESIDENCIAL;7618124.0
2008-01-01;Nordeste;1240602.0
2008-01-01;Norte;304451.7
2008-01-01;Sistemas Isolados;217377.0
2008-01-01;Sudeste/C.Oeste;4991022.0
2008-01-01;Sul;1380788.0
2008-01-01;TOTAL RESIDENCIAL;8134240.7
2008-02-01;Nordeste;1220863.0
2008-02-01;Norte;287828.0
2008-02-01;Sistemas Isolados;209451.0
2008-02-01;Sudeste/C.Oeste;4915851.0
2008-02-01;Sul;1324724.0
2008-02-01;TOTAL RESIDENCIAL;7958717.0
2008-03-01;Nordeste;1196335.0
2008-03-01;Norte;283577.9
2008-03-01;Sistemas Isolados;205677.0
2008-03-01;Sudeste/C.Oeste;4731304.0
2008-03-01;Sul;1276707.0
2008-03-01;TOTAL RESIDENCIAL;7693600.9
2008-04-01;Nordeste;1188456.0
2008-04-01;Norte;288846.1
2008-04-01;Sistemas Isolados;213705.0
2008-04-01;Sudeste/C.Oeste;4799535.0
2008-04-01;Sul;1264139.0
2008-04-01;TOTAL RESIDENCIAL;7754681.1
2008-05-01;Nordeste;1202895.0
2008-05-01;Norte;297115.7
2008-05-01;Sistemas Isolados;220741.0
2008-05-01;Sudeste/C.Oeste;4958054.0
2008-05-01;Sul;1255075.0
2008-05-01;TOTAL RESIDENCIAL;7933880.7
2008-06-01;Nordeste;1129884.0
2008-06-01;Norte;307920.4
2008-06-01;Sistemas Isolados;213406.0
2008-06-01;Sudeste/C.Oeste;4717048.0
2008-06-01;Sul;1252972.0
2008-06-01;TOTAL RESIDENCIAL;7621230.4
2008-07-01;Nordeste;1136816.0
2008-07-01;Norte;312873.2
2008-07-01;Sistemas Isolados;217139.0
2008-07-01;Sudeste/C.Oeste;4727819.0
2008-07-01;Sul;1258858.0
2008-07-01;TOTAL RESIDENCIAL;7653505.2
2008-08-01;Nordeste;1135402.0
2008-08-01;Norte;331695.6
2008-08-01;Sistemas Isolados;238723.0
2008-08-01;Sudeste/C.Oeste;4878723.0
2008-08-01;Sul;1296088.0
2008-08-01;TOTAL RESIDENCIAL;7880631.6
2008-09-01;Nordeste;1140723.0
2008-09-01;Norte;346658.9
2008-09-01;Sistemas Isolados;248693.0
2008-09-01;Sudeste/C.Oeste;4821021.0
2008-09-01;Sul;1258612.0
2008-09-01;TOTAL RESIDENCIAL;7815707.9
2008-10-01;Nordeste;1222811.0
2008-10-01;Norte;350597.8
2008-10-01;Sistemas Isolados;243015.0
2008-10-01;Sudeste/C.Oeste;5034825.0
2008-10-01;Sul;1268536.0
2008-10-01;TOTAL RESIDENCIAL;8119784.8
2008-11-01;Nordeste;1219949.0
2008-11-01;Norte;347230.1
2008-11-01;Sistemas Isolados;251337.0
2008-11-01;Sudeste/C.Oeste;5112390.0
2008-11-01;Sul;1306813.0
2008-11-01;TOTAL RESIDENCIAL;8237719.1
2008-12-01;Nordeste;1276535.0
2008-12-01;Norte;320780.4
2008-12-01;Sistemas Isolados;235695.0
