Data_padrao;Granularidade;Valor
2011-07-01;Outros Brasil;5198897.62
2011-08-01;Outros Brasil;5402108.84
2011-09-01;Outros Brasil;5596728.34
2011-10-01;Outros Brasil;5551707.38
2011-11-01;Outros Brasil;5373113.77
2011-12-01;Outros Brasil;5478845.78
2012-01-01;Outros Brasil;5471629.59
2012-02-01;Outros Brasil;5528072.699999999
2012-03-01;Outros Brasil;5736921.51
2012-04-01;Outros Brasil;5681584.649999999
2012-05-01;Outros Brasil;5597436.640000001
2012-06-01;Outros Brasil;5482975.96
2012-07-01;Outros Brasil;5395545.430000001
2012-08-01;Outros Brasil;5626961.22
2012-09-01;Outros Brasil;5838219.13
2012-10-01;Outros Brasil;5868784.91
2012-11-01;Outros Brasil;5882748.949999999
2012-12-01;Outros Brasil;5718465.76
2013-01-01;Outros Brasil;5869934.74
2013-02-01;Outros Brasil;5705399.72
2013-03-01;Outros Brasil;5790583.55
2013-04-01;Outros Brasil;5709050.43
2013-05-01;Outros Brasil;5700672.57
2013-06-01;Outros Brasil;5614775.01
2013-07-01;Outros Brasil;5731487.03
2013-08-01;Outros Brasil;5844985.26
2013-09-01;Outros Brasil;5919531.16
2013-10-01;Outros Brasil;5985777.38
2013-11-01;Outros Brasil;6016856.54
2013-12-01;Outros Brasil;5957041.24
2014-01-01;Outros Brasil;6199602.0
2014-02-01;Outros Brasil;6462944.0
2014-03-01;Outros Brasil;6157430.0
2014-04-01;Outros Brasil;5963558.0
2014-05-01;Outros Brasil;5977052.0
2014-06-01;Outros Brasil;5859061.0
2014-07-01;Outros Brasil;5883607.0
2014-08-01;Outros Brasil;5986400.0
2014-09-01;Outros Brasil;6158444.0
2014-10-01;Outros Brasil;6415192.59
2014-11-01;Outros Brasil;6338452.39
2014-12-01;Outros Brasil;6173724.03
2015-01-01;Outros Brasil;6367506.539999999
2015-02-01;Outros Brasil;6404491.76
2015-03-01;Outros Brasil;6162883.36
2015-04-01;Outros Brasil;6161267.01
2015-05-01;Outros Brasil;5966672.01
2015-06-01;Outros Brasil;5902168.59
2015-07-01;Outros Brasil;5913711.53
2015-08-01;Outros Brasil;6182393.92
2015-09-01;Outros Brasil;6242060.35
2015-10-01;Outros Brasil;6395377.39
2015-11-01;Outros Brasil;6428853.45
2015-12-01;Outros Brasil;6339681.59
2016-01-01;Outros Brasil;6189529.03
2016-02-01;Outros Brasil;6165200.91
2016-03-01;Outros Brasil;6402360.85
2016-04-01;Outros Brasil;6464252.78
2016-05-01;Outros Brasil;6396851.1
2016-06-01;Outros Brasil;6206627.5
2016-07-01;Outros Brasil;6106378.83
2016-08-01;Outros Brasil;6281365.3100000005
2016-09-01;Outros Brasil;6398411.83
2016-10-01;Outros Brasil;6373481.11
2016-11-01;Outros Brasil;6367883.39
2016-12-01;Outros Brasil;6368619.34
2017-01-01;Outros Brasil;6529951.300000001
2017-02-01;Outros Brasil;6326580.08
2017-03-01;Outros Brasil;6537906.8
2017-04-01;Outros Brasil;6454205.03
2017-05-01;Outros Brasil;6342097.5600000005
2017-06-01;Outros Brasil;6328106.26
2017-07-01;Outros Brasil;6167996.37
2017-08-01;Outros Brasil;6369865.58
2017-09-01;Outros Brasil;6522423.94
2017-10-01;Outros Brasil;6629173.68
2017-11-01;Outros Brasil;6502875.4
2017-12-01;Outros Brasil;6391476.05
2018-01-01;Outros Brasil;6604081.6
2018-02-01;Outros Brasil;6412976.430000001
2018-03-01;Outros Brasil;6592066.47
2018-04-01;Outros Brasil;6563090.18
2018-05-01;Outros Brasil;6633557.28
2018-06-01;Outros Brasil;6505966.97
2018-07-01;Outros Brasil;6483130.2700000005
2018-08-01;Outros Brasil;6670240.12
2018-09-01;Outros Brasil;6754390.760000001
2018-10-01;Outros Brasil;6809712.67
2018-11-01;Outros Brasil;6700111.3100000005
2018-12-01;Outros Brasil;6724000.880000001
2019-01-01;Outros Brasil;6692443.03
2019-02-01;Outros Brasil;6787634.16
2019-03-01;Outros Brasil;6663915.2700000005
2019-04-01;Outros Brasil;6472290.25
2019-05-01;Outros Brasil;6587667.3
2019-06-01;Outros Brasil;6421689.619999999
2019-07-01;Outros Brasil;6382353.130000001
2019-08-01;Outros Brasil;6523049.28
2019-09-01;Outros Brasil;6773314.85
2019-10-01;Outros Brasil;6940972.4
2019-11-01;Outros Brasil;7116390.19
2019-12-01;Outros Brasil;6958293.140000001
2020-01-01;Outros Brasil;6870767.0
2020-02-01;Outros Brasil;6643945.660000001
2020-03-01;Outros Brasil;6763330.0
2020-04-01;Outros Brasil;6389898.81
2020-05-01;Outros Brasil;6278815.249999999
2020-06-01;Outros Brasil;6211097.88
2020-07-01;Outros Brasil;6315952.249999999
2020-08-01;Outros Brasil;6600634.44
2020-09-01;Outros Brasil;6791688.249
2020-10-01;Outros Brasil;7183759.43
2020-11-01;Outros Brasil;6709977.600000001
2020-12-01;Outros Brasil;6659378.51
2021-01-01;Outros Brasil;6937741.19
2021-02-01;Outros Brasil;6708821.259999999
2021-03-01;Outros Brasil;6778084.231000001
2021-04-01;Outros Brasil;6797669.77
2021-05-01;Outros Brasil;6710919.96
2021-06-01;Outros Brasil;6648432.93
2021-07-01;Outros Brasil;6573330.159000002
2021-08-01;Outros Brasil;6780586.821
2021-09-01;Outros Brasil;6911871.62
2021-10-01;Outros Brasil;7025481.48
2021-11-01;Outros Brasil;6648701.069999999
2021-12-01;Outros Brasil;6797500.26
2022-01-01;Outros Brasil;6788596.95
2022-02-01;Outros Brasil;6579804.17
2022-03-01;Outros Brasil;6841437.061
2022-04-01;Outros Brasil;6757015.449000001
2022-05-01;Outros Brasil;6698380.409999999
2022-06-01;Outros Brasil;6530973.44
2022-07-01;Outros Brasil;6517595.179
2022-08-01;Outros Brasil;6825489.409999999
2022-09-01;Outros Brasil;6709251.37
2022-10-01;Outros Brasil;6705789.460000001
2022-11-01;Outros Brasil;6707794.07
2022-12-01;Outros Brasil;6635523.35
2023-01-01;Outros Brasil;6481937.699999999
2023-02-01;Outros Brasil;6447120.349999999
2023-03-01;Outros Brasil;6836933.16
2004-01-01;Outros Sudeste_C_Oeste;2131824.02
2004-02-01;Outros Sudeste_C_Oeste;2037756.8100000003
2004-03-01;Outros Sudeste_C_Oeste;2104192.3600000003
2004-04-01;Outros Sudeste_C_Oeste;2151986.7
2004-05-01;Outros Sudeste_C_Oeste;2123529.51
2004-06-01;Outros Sudeste_C_Oeste;2173467.85
2004-07-01;Outros Sudeste_C_Oeste;2211068.89
2004-08-01;Outros Sudeste_C_Oeste;2232235.98
2004-09-01;Outros Sudeste_C_Oeste;2319068.9400000004
2004-10-01;Outros Sudeste_C_Oeste;2468385.4400000004
2004-11-01;Outros Sudeste_C_Oeste;2267546.259999999
2004-12-01;Outros Sudeste_C_Oeste;2258985.17
2005-01-01;Outros Sudeste_C_Oeste;2117751.81
2005-02-01;Outros Sudeste_C_Oeste;2019576.99
2005-03-01;Outros Sudeste_C_Oeste;2169713.62
2005-04-01;Outros Sudeste_C_Oeste;2305093.01
2005-05-01;Outros Sudeste_C_Oeste;2305252.57
2005-06-01;Outros Sudeste_C_Oeste;2347776.31
2005-07-01;Outros Sudeste_C_Oeste;2328318.3600000003
2005-08-01;Outros Sudeste_C_Oeste;2369196.75
2005-09-01;Outros Sudeste_C_Oeste;2490411.38
2005-10-01;Outros Sudeste_C_Oeste;2423858.4999999995
2005-11-01;Outros Sudeste_C_Oeste;2408567.14
2005-12-01;Outros Sudeste_C_Oeste;2220890.56
2006-01-01;Outros Sudeste_C_Oeste;2154312.49
2006-02-01;Outros Sudeste_C_Oeste;2286479.27
2006-03-01;Outros Sudeste_C_Oeste;2193766.91
2006-04-01;Outros Sudeste_C_Oeste;2391697.83
2006-05-01;Outros Sudeste_C_Oeste;2334438.61
2006-06-01;Outros Sudeste_C_Oeste;2374338.709999999
2006-07-01;Outros Sudeste_C_Oeste;2503347.51
2006-08-01;Outros Sudeste_C_Oeste;2492403.16
2006-09-01;Outros Sudeste_C_Oeste;2537689.7399999998
2006-10-01;Outros Sudeste_C_Oeste;2481046.52
2006-11-01;Outros Sudeste_C_Oeste;2352938.14
2006-12-01;Outros Sudeste_C_Oeste;2349420.19
2007-01-01;Outros Sudeste_C_Oeste;2319775.0
2007-02-01;Outros Sudeste_C_Oeste;2226322.0
2007-03-01;Outros Sudeste_C_Oeste;2362698.0
2007-04-01;Outros Sudeste_C_Oeste;2501221.0
2007-05-01;Outros Sudeste_C_Oeste;2504055.0
2007-06-01;Outros Sudeste_C_Oeste;2473077.0
2007-07-01;Outros Sudeste_C_Oeste;2478742.0
2007-08-01;Outros Sudeste_C_Oeste;2527496.0
2007-09-01;Outros Sudeste_C_Oeste;2649292.0
2007-10-01;Outros Sudeste_C_Oeste;2714894.0
2007-11-01;Outros Sudeste_C_Oeste;2635943.0
2007-12-01;Outros Sudeste_C_Oeste;2486138.0
2008-01-01;Outros Sudeste_C_Oeste;2440398.0
2008-02-01;Outros Sudeste_C_Oeste;2410995.0
2008-03-01;Outros Sudeste_C_Oeste;2377174.0
2008-04-01;Outros Sudeste_C_Oeste;2438536.0
2008-05-01;Outros Sudeste_C_Oeste;2496335.0
2008-06-01;Outros Sudeste_C_Oeste;2554463.0
2008-07-01;Outros Sudeste_C_Oeste;2583428.0
2008-08-01;Outros Sudeste_C_Oeste;2703809.0
2008-09-01;Outros Sudeste_C_Oeste;2785981.0
2008-10-01;Outros Sudeste_C_Oeste;2749891.0
2008-11-01;Outros Sudeste_C_Oeste;2728087.0
2008-12-01;Outros Sudeste_C_Oeste;2512855.0
2009-01-01;Outros Sudeste_C_Oeste;2481972.2
2009-02-01;Outros Sudeste_C_Oeste;2389074.01
2009-03-01;Outros Sudeste_C_Oeste;2538439.01
2009-04-01;Outros Sudeste_C_Oeste;2557684.5
2009-05-01;Outros Sudeste_C_Oeste;2531876.3
2009-06-01;Outros Sudeste_C_Oeste;2586374.45
2009-07-01;Outros Sudeste_C_Oeste;2625621.23
2009-08-01;Outros Sudeste_C_Oeste;2617981.5
2009-09-01;Outros Sudeste_C_Oeste;2657842.71
2009-10-01;Outros Sudeste_C_Oeste;2684874.74
2009-11-01;Outros Sudeste_C_Oeste;2653521.6
2009-12-01;Outros Sudeste_C_Oeste;2669837.6
2010-01-01;Outros Sudeste_C_Oeste;2615314.3
2010-02-01;Outros Sudeste_C_Oeste;2634851.0
2010-03-01;Outros Sudeste_C_Oeste;2690244.0
2010-04-01;Outros Sudeste_C_Oeste;2736941.0
2010-05-01;Outros Sudeste_C_Oeste;2776170.0
2010-06-01;Outros Sudeste_C_Oeste;2782898.0
2010-07-01;Outros Sudeste_C_Oeste;2797693.0
2010-08-01;Outros Sudeste_C_Oeste;2889438.0
2010-09-01;Outros Sudeste_C_Oeste;3046814.0
2010-10-01;Outros Sudeste_C_Oeste;2897525.0
2010-11-01;Outros Sudeste_C_Oeste;2703621.0
2010-12-01;Outros Sudeste_C_Oeste;2752635.0
2011-01-01;Outros Sudeste_C_Oeste;2764627.0
2011-02-01;Outros Sudeste_C_Oeste;2773602.0
2011-03-01;Outros Sudeste_C_Oeste;2871297.0
2011-04-01;Outros Sudeste_C_Oeste;2854831.0
2011-05-01;Outros Sudeste_C_Oeste;2894781.0
2011-06-01;Outros Sudeste_C_Oeste;2919683.0
2011-07-01;Outros Sudeste_C_Oeste;2935095.0
2011-08-01;Outros Sudeste_C_Oeste;3073061.0
2011-09-01;Outros Sudeste_C_Oeste;3213383.0
2011-10-01;Outros Sudeste_C_Oeste;3128007.0
2011-11-01;Outros Sudeste_C_Oeste;2952415.0
2011-12-01;Outros Sudeste_C_Oeste;2886402.0
2012-01-01;Outros Sudeste_C_Oeste;2782567.4
2012-02-01;Outros Sudeste_C_Oeste;2881647.26
2012-03-01;Outros Sudeste_C_Oeste;3021116.37
2012-04-01;Outros Sudeste_C_Oeste;3114065.01
2012-05-01;Outros Sudeste_C_Oeste;3039385.5300000003
2012-06-01;Outros Sudeste_C_Oeste;3030336.64
2012-07-01;Outros Sudeste_C_Oeste;2973200.81
2012-08-01;Outros Sudeste_C_Oeste;3132810.14
2012-09-01;Outros Sudeste_C_Oeste;3280916.5
2012-10-01;Outros Sudeste_C_Oeste;3274894.49
2012-11-01;Outros Sudeste_C_Oeste;3268109.19
2012-12-01;Outros Sudeste_C_Oeste;3019839.76
2013-01-01;Outros Sudeste_C_Oeste;3109747.0
2013-02-01;Outros Sudeste_C_Oeste;2923123.0
2013-03-01;Outros Sudeste_C_Oeste;3045583.0
2013-04-01;Outros Sudeste_C_Oeste;3050612.0
2013-05-01;Outros Sudeste_C_Oeste;3111168.0
2013-06-01;Outros Sudeste_C_Oeste;3120478.0
2013-07-01;Outros Sudeste_C_Oeste;3191529.0
2013-08-01;Outros Sudeste_C_Oeste;3260347.0
2013-09-01;Outros Sudeste_C_Oeste;3349506.0
2013-10-01;Outros Sudeste_C_Oeste;3281906.0
2013-11-01;Outros Sudeste_C_Oeste;3262815.0
2013-12-01;Outros Sudeste_C_Oeste;3170223.0
2014-01-01;Outros Sudeste_C_Oeste;3178158.0
2014-02-01;Outros Sudeste_C_Oeste;3458601.0
2014-03-01;Outros Sudeste_C_Oeste;3255257.0
2014-04-01;Outros Sudeste_C_Oeste;3229647.0
2014-05-01;Outros Sudeste_C_Oeste;3248673.0
2014-06-01;Outros Sudeste_C_Oeste;3231514.0
2014-07-01;Outros Sudeste_C_Oeste;3241957.0
2014-08-01;Outros Sudeste_C_Oeste;3272740.0
2014-09-01;Outros Sudeste_C_Oeste;3405962.0
2014-10-01;Outros Sudeste_C_Oeste;3523311.0
2014-11-01;Outros Sudeste_C_Oeste;3436327.0
2014-12-01;Outros Sudeste_C_Oeste;3207041.0
2015-01-01;Outros Sudeste_C_Oeste;3292906.0
2015-02-01;Outros Sudeste_C_Oeste;3364951.0
2015-03-01;Outros Sudeste_C_Oeste;3178037.0
2015-04-01;Outros Sudeste_C_Oeste;3251017.0
2015-05-01;Outros Sudeste_C_Oeste;3170255.0
2015-06-01;Outros Sudeste_C_Oeste;3206646.0
2015-07-01;Outros Sudeste_C_Oeste;3241851.0
2015-08-01;Outros Sudeste_C_Oeste;3410554.0
2015-09-01;Outros Sudeste_C_Oeste;3420967.0
2015-10-01;Outros Sudeste_C_Oeste;3502046.0
2015-11-01;Outros Sudeste_C_Oeste;3512891.0
2015-12-01;Outros Sudeste_C_Oeste;3357509.0
2016-01-01;Outros Sudeste_C_Oeste;3189286.0
2016-02-01;Outros Sudeste_C_Oeste;3159060.0
2016-03-01;Outros Sudeste_C_Oeste;3289698.0
2016-04-01;Outros Sudeste_C_Oeste;3442085.0
2016-05-01;Outros Sudeste_C_Oeste;3418952.0
2016-06-01;Outros Sudeste_C_Oeste;3312036.0
2016-07-01;Outros Sudeste_C_Oeste;3275602.0
2016-08-01;Outros Sudeste_C_Oeste;3400502.0
2016-09-01;Outros Sudeste_C_Oeste;3465059.0
2016-10-01;Outros Sudeste_C_Oeste;3458960.0
2016-11-01;Outros Sudeste_C_Oeste;3344921.0
2016-12-01;Outros Sudeste_C_Oeste;3205812.0
2017-01-01;Outros Sudeste_C_Oeste;3312580.18
2017-02-01;Outros Sudeste_C_Oeste;3231234.51
2017-03-01;Outros Sudeste_C_Oeste;3350930.29
2017-04-01;Outros Sudeste_C_Oeste;3410447.79
2017-05-01;Outros Sudeste_C_Oeste;3361298.75
2017-06-01;Outros Sudeste_C_Oeste;3387186.3
2017-07-01;Outros Sudeste_C_Oeste;3324701.37
2017-08-01;Outros Sudeste_C_Oeste;3423649.6
2017-09-01;Outros Sudeste_C_Oeste;3516442.0
2017-10-01;Outros Sudeste_C_Oeste;3539290.0
2017-11-01;Outros Sudeste_C_Oeste;3431414.0
2017-12-01;Outros Sudeste_C_Oeste;3230825.0
2018-01-01;Outros Sudeste_C_Oeste;3297607.27
2018-02-01;Outros Sudeste_C_Oeste;3245879.1800000006
2018-03-01;Outros Sudeste_C_Oeste;3382365.99
2018-04-01;Outros Sudeste_C_Oeste;3445847.05
2018-05-01;Outros Sudeste_C_Oeste;3524935.49
2018-06-01;Outros Sudeste_C_Oeste;3504089.91
2018-07-01;Outros Sudeste_C_Oeste;3525164.7800000007
2018-08-01;Outros Sudeste_C_Oeste;3603421.45
2018-09-01;Outros Sudeste_C_Oeste;3656049.92
2018-10-01;Outros Sudeste_C_Oeste;3615585.99
2018-11-01;Outros Sudeste_C_Oeste;3485696.100000001
2018-12-01;Outros Sudeste_C_Oeste;3516500.1700000004
2019-01-01;Outros Sudeste_C_Oeste;3387169.08
2019-02-01;Outros Sudeste_C_Oeste;3487712.05
2019-03-01;Outros Sudeste_C_Oeste;3406583.8000000007
2019-04-01;Outros Sudeste_C_Oeste;3344176.7700000005
2019-05-01;Outros Sudeste_C_Oeste;3413174.09
2019-06-01;Outros Sudeste_C_Oeste;3393408.249999999
2019-07-01;Outros Sudeste_C_Oeste;3361991.18
2019-08-01;Outros Sudeste_C_Oeste;3440257.26
2019-09-01;Outros Sudeste_C_Oeste;3599217.0500000003
2019-10-01;Outros Sudeste_C_Oeste;3632637.64
2019-11-01;Outros Sudeste_C_Oeste;3667043.66
2019-12-01;Outros Sudeste_C_Oeste;3396438.7000000007
2020-01-01;Outros Sudeste_C_Oeste;3398320.7
2020-02-01;Outros Sudeste_C_Oeste;3294972.5400000005
2020-03-01;Outros Sudeste_C_Oeste;3383363.5200000005
2020-04-01;Outros Sudeste_C_Oeste;3281859.01
2020-05-01;Outros Sudeste_C_Oeste;3325461.369999999
2020-06-01;Outros Sudeste_C_Oeste;3313584.99
2020-07-01;Outros Sudeste_C_Oeste;3369765.55
2020-08-01;Outros Sudeste_C_Oeste;3576664.91
2020-09-01;Outros Sudeste_C_Oeste;3717302.56
2020-10-01;Outros Sudeste_C_Oeste;3923904.849999999
2020-11-01;Outros Sudeste_C_Oeste;3571130.8600000003
2020-12-01;Outros Sudeste_C_Oeste;3431291.78
2021-01-01;Outros Sudeste_C_Oeste;3442916.12
2021-02-01;Outros Sudeste_C_Oeste;3383188.6299999994
2021-03-01;Outros Sudeste_C_Oeste;3496699.001
2021-04-01;Outros Sudeste_C_Oeste;3499827.59
2021-05-01;Outros Sudeste_C_Oeste;3587825.2
2021-06-01;Outros Sudeste_C_Oeste;3542140.83
2021-07-01;Outros Sudeste_C_Oeste;3516020.159000001
2021-08-01;Outros Sudeste_C_Oeste;3626680.561
2021-09-01;Outros Sudeste_C_Oeste;3720036.65
2021-10-01;Outros Sudeste_C_Oeste;3754163.17
2021-11-01;Outros Sudeste_C_Oeste;3392025.1499999994
2021-12-01;Outros Sudeste_C_Oeste;3420901.4800000004
2022-01-01;Outros Sudeste_C_Oeste;3321609.28
2022-02-01;Outros Sudeste_C_Oeste;3238114.8800000004
2022-03-01;Outros Sudeste_C_Oeste;3441169.8209999995
2022-04-01;Outros Sudeste_C_Oeste;3539226.7090000003
2022-05-01;Outros Sudeste_C_Oeste;3554160.08
2022-06-01;Outros Sudeste_C_Oeste;3444143.39
2022-07-01;Outros Sudeste_C_Oeste;3499005.509
2022-08-01;Outros Sudeste_C_Oeste;3680573.62
2022-09-01;Outros Sudeste_C_Oeste;3547552.8
2022-10-01;Outros Sudeste_C_Oeste;3509938.72
2022-11-01;Outros Sudeste_C_Oeste;3437183.0300000003
2022-12-01;Outros Sudeste_C_Oeste;3436982.389999999
2023-01-01;Outros Sudeste_C_Oeste;3203766.88
2023-02-01;Outros Sudeste_C_Oeste;3213383.61
2023-03-01;Outros Sudeste_C_Oeste;3471535.83
2004-01-01;Outros São Paulo;937538.01
2004-02-01;Outros São Paulo;875586.1399999999
2004-03-01;Outros São Paulo;964620.3
2004-04-01;Outros São Paulo;960806.23
2004-05-01;Outros São Paulo;914846.56
2004-06-01;Outros São Paulo;935258.8
2004-07-01;Outros São Paulo;933151.32
2004-08-01;Outros São Paulo;937345.71
2004-09-01;Outros São Paulo;931372.98
2004-10-01;Outros São Paulo;1075936.97
2004-11-01;Outros São Paulo;969220.13
2004-12-01;Outros São Paulo;973321.14
2005-01-01;Outros São Paulo;924587.22
2005-02-01;Outros São Paulo;876532.1400000001
2005-03-01;Outros São Paulo;1001977.53
2005-04-01;Outros São Paulo;1021197.04
2005-05-01;Outros São Paulo;985314.74
2005-06-01;Outros São Paulo;994263.62
2005-07-01;Outros São Paulo;976502.29
2005-08-01;Outros São Paulo;991788.13
2005-09-01;Outros São Paulo;1053195.23
2005-10-01;Outros São Paulo;1026387.02
2005-11-01;Outros São Paulo;1032984.43
2005-12-01;Outros São Paulo;994921.41
2006-01-01;Outros São Paulo;964155.98
2006-02-01;Outros São Paulo;979635.91
2006-03-01;Outros São Paulo;1003757.01
2006-04-01;Outros São Paulo;1013752.0700000002
2006-05-01;Outros São Paulo;1002683.46
2006-06-01;Outros São Paulo;1035283.25
2006-07-01;Outros São Paulo;1028222.49
2006-08-01;Outros São Paulo;1064597.19
2006-09-01;Outros São Paulo;1074007.4
2006-10-01;Outros São Paulo;1085478.94
2006-11-01;Outros São Paulo;1032419.22
2006-12-01;Outros São Paulo;1026539.11
2007-01-01;Outros São Paulo;984799.0
2007-02-01;Outros São Paulo;984804.0
2007-03-01;Outros São Paulo;1017873.0
2007-04-01;Outros São Paulo;1074758.0
2007-05-01;Outros São Paulo;1071422.0
2007-06-01;Outros São Paulo;1047271.0
2007-07-01;Outros São Paulo;1033990.0
2007-08-01;Outros São Paulo;1046043.0
2007-09-01;Outros São Paulo;1136142.0
2007-10-01;Outros São Paulo;1144287.0
2007-11-01;Outros São Paulo;1115782.0
2007-12-01;Outros São Paulo;1065680.0
2008-01-01;Outros São Paulo;1038120.0
2008-02-01;Outros São Paulo;1044149.0
2008-03-01;Outros São Paulo;1019978.0
2008-04-01;Outros São Paulo;1034596.0
2008-05-01;Outros São Paulo;1039342.0
2008-06-01;Outros São Paulo;1029941.0
2008-07-01;Outros São Paulo;1063721.0
2008-08-01;Outros São Paulo;1103115.0
2008-09-01;Outros São Paulo;1144340.0
2008-10-01;Outros São Paulo;1149075.0
2008-11-01;Outros São Paulo;1132736.0
2008-12-01;Outros São Paulo;1082481.0
2009-01-01;Outros São Paulo;1058606.0
2009-02-01;Outros São Paulo;1018179.0
2009-03-01;Outros São Paulo;1074353.0
2009-04-01;Outros São Paulo;1090516.0
2009-05-01;Outros São Paulo;1078198.0
2009-06-01;Outros São Paulo;1071130.0
2009-07-01;Outros São Paulo;1051960.0
2009-08-01;Outros São Paulo;1074517.0
2009-09-01;Outros São Paulo;1109543.0
2009-10-01;Outros São Paulo;1103239.0
2009-11-01;Outros São Paulo;1105947.0
2009-12-01;Outros São Paulo;1113637.0
2010-01-01;Outros São Paulo;1081600.3
2010-02-01;Outros São Paulo;1057157.0
2010-03-01;Outros São Paulo;1097932.0
2010-04-01;Outros São Paulo;1132334.0
2010-05-01;Outros São Paulo;1111725.0
2010-06-01;Outros São Paulo;1104991.0
2010-07-01;Outros São Paulo;1129714.0
2010-08-01;Outros São Paulo;1190660.0
2010-09-01;Outros São Paulo;1254817.0
2010-10-01;Outros São Paulo;1171063.0
2010-11-01;Outros São Paulo;1146840.0
2010-12-01;Outros São Paulo;1164369.0
2011-01-01;Outros São Paulo;1141411.0
2011-02-01;Outros São Paulo;1108844.0
2011-03-01;Outros São Paulo;1160418.0
2011-04-01;Outros São Paulo;1154350.0
2011-05-01;Outros São Paulo;1145291.0
2011-06-01;Outros São Paulo;1143179.0
2011-07-01;Outros São Paulo;1147917.0
2011-08-01;Outros São Paulo;1208762.0
2011-09-01;Outros São Paulo;1279421.0
2011-10-01;Outros São Paulo;1242182.0
2011-11-01;Outros São Paulo;1203081.0
2011-12-01;Outros São Paulo;1186852.0
2012-01-01;Outros São Paulo;1140907.0
2012-02-01;Outros São Paulo;1169036.0
2012-03-01;Outros São Paulo;1206087.0
2012-04-01;Outros São Paulo;1264215.0
2012-05-01;Outros São Paulo;1183965.0
2012-06-01;Outros São Paulo;1183327.0
2012-07-01;Outros São Paulo;1117726.0
2012-08-01;Outros São Paulo;1184523.0
2012-09-01;Outros São Paulo;1320300.0
2012-10-01;Outros São Paulo;1276366.0
2012-11-01;Outros São Paulo;1291390.0
2012-12-01;Outros São Paulo;1225006.0
2013-01-01;Outros São Paulo;1200871.0
2013-02-01;Outros São Paulo;1157724.0
2013-03-01;Outros São Paulo;1191237.0
2013-04-01;Outros São Paulo;1213844.0
2013-05-01;Outros São Paulo;1225184.0
2013-06-01;Outros São Paulo;1203440.0
2013-07-01;Outros São Paulo;1186133.0
2013-08-01;Outros São Paulo;1192028.0
2013-09-01;Outros São Paulo;1284257.0
2013-10-01;Outros São Paulo;1269462.0
2013-11-01;Outros São Paulo;1277194.0
2013-12-01;Outros São Paulo;1246709.0
2014-01-01;Outros São Paulo;1271555.0
2014-02-01;Outros São Paulo;1323642.0
2014-03-01;Outros São Paulo;1254630.0
2014-04-01;Outros São Paulo;1258289.0
2014-05-01;Outros São Paulo;1253642.0
2014-06-01;Outros São Paulo;1203152.0
2014-07-01;Outros São Paulo;1219769.0
2014-08-01;Outros São Paulo;1248290.0
2014-09-01;Outros São Paulo;1281341.0
2014-10-01;Outros São Paulo;1322074.0
2014-11-01;Outros São Paulo;1314855.0
2014-12-01;Outros São Paulo;1244792.0
2015-01-01;Outros São Paulo;1233658.0
2015-02-01;Outros São Paulo;1240489.0
2015-03-01;Outros São Paulo;1186361.0
2015-04-01;Outros São Paulo;1210862.0
2015-05-01;Outros São Paulo;1182639.0
2015-06-01;Outros São Paulo;1156484.0
2015-07-01;Outros São Paulo;1163735.0
2015-08-01;Outros São Paulo;1212376.0
2015-09-01;Outros São Paulo;1235206.0
2015-10-01;Outros São Paulo;1279478.0
2015-11-01;Outros São Paulo;1251083.0
2015-12-01;Outros São Paulo;1214220.0
2016-01-01;Outros São Paulo;1181249.0
2016-02-01;Outros São Paulo;1174434.0
2016-03-01;Outros São Paulo;1211445.0
2016-04-01;Outros São Paulo;1254542.0
2016-05-01;Outros São Paulo;1234955.0
2016-06-01;Outros São Paulo;1166989.0
2016-07-01;Outros São Paulo;1159312.0
2016-08-01;Outros São Paulo;1228681.0
2016-09-01;Outros São Paulo;1252280.0
2016-10-01;Outros São Paulo;1267574.0
2016-11-01;Outros São Paulo;1246304.0
2016-12-01;Outros São Paulo;1236610.0
2017-01-01;Outros São Paulo;1201644.0
2017-02-01;Outros São Paulo;1168512.0
2017-03-01;Outros São Paulo;1252482.0
2017-04-01;Outros São Paulo;1263338.0
2017-05-01;Outros São Paulo;1240091.0
2017-06-01;Outros São Paulo;1216372.0
2017-07-01;Outros São Paulo;1187073.0
2017-08-01;Outros São Paulo;1242297.0
2017-09-01;Outros São Paulo;1335192.0
2017-10-01;Outros São Paulo;1325990.0
2017-11-01;Outros São Paulo;1271411.0
2017-12-01;Outros São Paulo;1262726.0
2018-01-01;Outros São Paulo;1208680.85
2018-02-01;Outros São Paulo;1178243.06
2018-03-01;Outros São Paulo;1268672.8299999998
2018-04-01;Outros São Paulo;1288925.98
2018-05-01;Outros São Paulo;1299296.68
2018-06-01;Outros São Paulo;1276147.06
2018-07-01;Outros São Paulo;1279714.19
2018-08-01;Outros São Paulo;1267749.56
2018-09-01;Outros São Paulo;1330102.7499999998
2018-10-01;Outros São Paulo;1299284.7800000005
2018-11-01;Outros São Paulo;1286682.05
2018-12-01;Outros São Paulo;1313900.2300000002
2019-01-01;Outros São Paulo;1190879.41
2019-02-01;Outros São Paulo;1226894.2
2019-03-01;Outros São Paulo;1215994.49
2019-04-01;Outros São Paulo;1198041.0000000002
2019-05-01;Outros São Paulo;1223035.2000000002
2019-06-01;Outros São Paulo;1144469.62
2019-07-01;Outros São Paulo;1146043.61
2019-08-01;Outros São Paulo;1155195.1800000002
