Data_padrao;SÃO PAULO;Valor
2006-05-01;TOTAL;8836937.239999998
2006-06-01;COMERCIAL;1474424.2500000002
2006-06-01;INDUSTRIAL;4151300.84
2006-06-01;OUTROS;1035283.2500000001
2006-06-01;RESIDENCIAL;2327287.0700000003
2006-06-01;TOTAL;8988295.41
2006-07-01;COMERCIAL;1443153.65
2006-07-01;INDUSTRIAL;4165531.9699999997
2006-07-01;OUTROS;1028222.4900000001
2006-07-01;RESIDENCIAL;2277352.0799999996
2006-07-01;TOTAL;8914260.190000001
2006-08-01;COMERCIAL;1519629.8599999999
2006-08-01;INDUSTRIAL;4273783.4399999995
2006-08-01;OUTROS;1064597.19
2006-08-01;RESIDENCIAL;2296701.1700000004
2006-08-01;TOTAL;9154711.66
2006-09-01;COMERCIAL;1579573.5400000003
2006-09-01;INDUSTRIAL;4224977.28
2006-09-01;OUTROS;1074007.4
2006-09-01;RESIDENCIAL;2377111.22
2006-09-01;TOTAL;9255669.44
2006-10-01;COMERCIAL;1573310.03
2006-10-01;INDUSTRIAL;4280542.4
2006-10-01;OUTROS;1085478.94
2006-10-01;RESIDENCIAL;2339656.4899999998
2006-10-01;TOTAL;9278987.860000001
2006-11-01;COMERCIAL;1630453.2
2006-11-01;INDUSTRIAL;4300324.220000001
2006-11-01;OUTROS;1032419.22
2006-11-01;RESIDENCIAL;2379708.1599999997
2006-11-01;TOTAL;9342904.799999999
2006-12-01;COMERCIAL;1723986.73
2006-12-01;INDUSTRIAL;4275335.720000001
2006-12-01;OUTROS;1026539.1100000001
2006-12-01;RESIDENCIAL;2384052.7399999998
2006-12-01;TOTAL;9409914.3
2007-01-01;COMERCIAL;1646738.0
2007-01-01;INDUSTRIAL;4049589.0
2007-01-01;OUTROS;984799.0
2007-01-01;RESIDENCIAL;2440676.0
2007-01-01;TOTAL;9121802.0
2007-02-01;COMERCIAL;1684709.0
2007-02-01;INDUSTRIAL;4188532.0
2007-02-01;OUTROS;984804.0
2007-02-01;RESIDENCIAL;2351043.0
2007-02-01;TOTAL;9209088.0
2007-03-01;COMERCIAL;1748942.0
2007-03-01;INDUSTRIAL;4329715.0
2007-03-01;OUTROS;1017873.0
2007-03-01;RESIDENCIAL;2413480.0
2007-03-01;TOTAL;9510010.0
2007-04-01;COMERCIAL;1804750.0
2007-04-01;INDUSTRIAL;4507532.0
2007-04-01;OUTROS;1074758.0
2007-04-01;RESIDENCIAL;2440438.0
2007-04-01;TOTAL;9827478.0
2007-05-01;COMERCIAL;1647064.0
2007-05-01;INDUSTRIAL;4439199.0
2007-05-01;OUTROS;1071422.0
2007-05-01;RESIDENCIAL;2458210.0
2007-05-01;TOTAL;9615895.0
2007-06-01;COMERCIAL;1559608.0
2007-06-01;INDUSTRIAL;4544459.0
2007-06-01;OUTROS;1047271.0
2007-06-01;RESIDENCIAL;2378151.0
2007-06-01;TOTAL;9529489.0
2007-07-01;COMERCIAL;1522661.0
2007-07-01;INDUSTRIAL;4426115.0
2007-07-01;OUTROS;1033990.0
2007-07-01;RESIDENCIAL;2368283.0
2007-07-01;TOTAL;9351049.0
2007-08-01;COMERCIAL;1494738.0
2007-08-01;INDUSTRIAL;4488819.0
2007-08-01;OUTROS;1046043.0
2007-08-01;RESIDENCIAL;2468106.0
2007-08-01;TOTAL;9497706.0
2007-09-01;COMERCIAL;1665504.0
2007-09-01;INDUSTRIAL;4661174.0
2007-09-01;OUTROS;1136142.0
2007-09-01;RESIDENCIAL;2484697.0
2007-09-01;TOTAL;9947517.0
2007-10-01;COMERCIAL;1658788.0
2007-10-01;INDUSTRIAL;4590297.0
2007-10-01;OUTROS;1144287.0
2007-10-01;RESIDENCIAL;2472577.0
2007-10-01;TOTAL;9865949.0
2007-11-01;COMERCIAL;1742436.0
2007-11-01;INDUSTRIAL;4690139.0
2007-11-01;OUTROS;1115782.0
2007-11-01;RESIDENCIAL;2537478.0
2007-11-01;TOTAL;10085835.0
2007-12-01;COMERCIAL;1759015.0
2007-12-01;INDUSTRIAL;4536199.0
2007-12-01;OUTROS;1065680.0
2007-12-01;RESIDENCIAL;2536673.0
2007-12-01;TOTAL;9897567.0
2008-01-01;COMERCIAL;1712535.0
2008-01-01;INDUSTRIAL;4221172.0
2008-01-01;OUTROS;1038120.0
2008-01-01;RESIDENCIAL;2516197.0
2008-01-01;TOTAL;9488024.0
2008-02-01;COMERCIAL;1775224.0
2008-02-01;INDUSTRIAL;4467742.0
2008-02-01;OUTROS;1044149.0
2008-02-01;RESIDENCIAL;2624776.0
2008-02-01;TOTAL;9911891.0
2008-03-01;COMERCIAL;1740362.0
2008-03-01;INDUSTRIAL;4408751.0
2008-03-01;OUTROS;1019978.0
2008-03-01;RESIDENCIAL;2508868.0
2008-03-01;TOTAL;9677959.0
2008-04-01;COMERCIAL;1737463.0
2008-04-01;INDUSTRIAL;4470594.0
2008-04-01;OUTROS;1034596.0
2008-04-01;RESIDENCIAL;2568569.0
2008-04-01;TOTAL;9811222.0
2008-05-01;COMERCIAL;1693988.0
2008-05-01;INDUSTRIAL;4525926.0
2008-05-01;OUTROS;1039342.0
2008-05-01;RESIDENCIAL;2607143.0
2008-05-01;TOTAL;9866399.0
2008-06-01;COMERCIAL;1601754.0
2008-06-01;INDUSTRIAL;4471787.0
2008-06-01;OUTROS;1029941.0
2008-06-01;RESIDENCIAL;2557202.0
2008-06-01;TOTAL;9660684.0
2008-07-01;COMERCIAL;1611166.0
2008-07-01;INDUSTRIAL;4615994.0
2008-07-01;OUTROS;1063721.0
2008-07-01;RESIDENCIAL;2583522.0
2008-07-01;TOTAL;9874403.0
2008-08-01;COMERCIAL;1681832.0
2008-08-01;INDUSTRIAL;4763449.0
2008-08-01;OUTROS;1103115.0
2008-08-01;RESIDENCIAL;2656370.0
2008-08-01;TOTAL;10204766.0
2008-09-01;COMERCIAL;1732128.0
2008-09-01;INDUSTRIAL;4632118.0
2008-09-01;OUTROS;1144340.0
2008-09-01;RESIDENCIAL;2625711.0
2008-09-01;TOTAL;10134297.0
2008-10-01;COMERCIAL;1789872.0
2008-10-01;INDUSTRIAL;4701595.0
2008-10-01;OUTROS;1149075.0
2008-10-01;RESIDENCIAL;2734678.0
2008-10-01;TOTAL;10375220.0
2008-11-01;COMERCIAL;1859167.0
2008-11-01;INDUSTRIAL;4594345.0
2008-11-01;OUTROS;1132736.0
2008-11-01;RESIDENCIAL;2692642.0
2008-11-01;TOTAL;10278890.0
2008-12-01;COMERCIAL;1808926.0
2008-12-01;INDUSTRIAL;4159358.0
2008-12-01;OUTROS;1082481.0
2008-12-01;RESIDENCIAL;2625315.0
2008-12-01;TOTAL;9676080.0
2009-01-01;COMERCIAL;1754774.0
