Data_padrao;Regiao;Valor
2005-03-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4115634.63
2005-04-01;Nordeste;703466.0800000001
2005-04-01;Norte;138101.08
2005-04-01;Sistemas Isolados;127597.63
2005-04-01;Sudeste/C.Oeste;2305093.0100000002
2005-04-01;Sul;888437.25
2005-04-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4162695.0500000003
2005-05-01;Nordeste;703291.3599999999
2005-05-01;Norte;144027.72999999998
2005-05-01;Sistemas Isolados;124925.31999999999
2005-05-01;Sudeste/C.Oeste;2305252.5699999994
2005-05-01;Sul;816582.85
2005-05-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4094079.8299999996
2005-06-01;Nordeste;695211.23
2005-06-01;Norte;145081.19999999998
2005-06-01;Sistemas Isolados;128172.06
2005-06-01;Sudeste/C.Oeste;2347776.31
2005-06-01;Sul;790740.03
2005-06-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4106980.83
2005-07-01;Nordeste;712686.63
2005-07-01;Norte;149277.69999999998
2005-07-01;Sistemas Isolados;130764.66
2005-07-01;Sudeste/C.Oeste;2328318.3600000003
2005-07-01;Sul;778746.38
2005-07-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4099793.7300000004
2005-08-01;Nordeste;735248.6499999999
2005-08-01;Norte;152421.0
2005-08-01;Sistemas Isolados;128083.59999999998
2005-08-01;Sudeste/C.Oeste;2369196.75
2005-08-01;Sul;778297.81
2005-08-01;TOTAL OUTROS (RURAL + ILUMINAÇÃO PUB. + SERVIÇO PUB. + PODER PUB. + CONSUMO PRÓPRIO);4163247.81
2005-09-01;Nordeste;765956.21
2005-09-01;Norte;155357.43
2005-09-01;Sistemas Isolados;138647.24
